34123,1.44582,0.05
68257,6.30672,0.25
34123,1.56393,0.1
42665,5.83972,0.3
8530,1.29391,0.05
42665,6.47257,0.2
42665,3.95424,0.15
34123,2.30965,0.2
42665,5.47231,0.15
1066,1,0.05
844,1,0.05
1177,1,0.05
1110,1,0.05
1410,1,0.05
1321,1,0.05
2776,1,0.05
910,1,0.1
1188,1,0.05
755,1,0.05
533,1.00074,0.05
2210,1,0.05
2965,1,0.05
2976,1,0.05
2676,1,0.05
788,1,0.05
1543,1,0.05
833,1,0.05
766,1,0.05
455,1.01223,0.05
810,1,0.05
788,1,0.05
1455,1,0.05
1899,1,0.05
1299,1,0.05
1166,1,0.05
1055,1,0.05
855,1,0.05
921,1,0.05
1166,1,0.05
944,1,0.05
655,1,0.05
5887,1,0.05
7742,1,0.05
1188,1,0.05
8530,1.27651,0.05
34123,1.19296,0.05
25592,1.23319,0.1
2188,1,0.05
8530,1.94744,0.1
5742,1,0.05
6564,1,0.05
4232,1,0.05
3598,1,0.05
5998,1,0.05
34123,2.02268,0.1
34123,1.53041,0.1
42665,6.26564,0.2
34123,2.84505,0.2
34123,2.65165,0.2
42665,4.46661,0.15
59726,6.60948,0.25
42665,3.70545,0.2
42665,4.57679,0.15
8530,1.35853,0.1
42665,7.33108,0.25
34123,3.16191,0.2
42665,5.90331,0.25
34123,1.38828,0.05
34123,2.70239,0.1
30713,2.79854,0.1
